resource,logical_input,sample,min_eig,projection_frobenius
canonical,plus_i,112,0.013430200608748557,4.343296040398166e-16
canonical,zero,113,0.006879087575868721,1.473532467643817e-16
canonical,one,113,0.020970838206356868,5.683738353984811e-16
canonical,plus,113,0.01977294441022845,5.415286722293936e-16
canonical,plus_i,113,0.00839592799038414,4.3463135035944923e-16
canonical,zero,114,0.010691154686291922,1.4019434234249534e-16
canonical,one,114,0.022046179810758185,5.656735963564422e-16
canonical,plus,114,0.009764916113689008,6.074669346282413e-16
canonical,plus_i,114,0.0012928113774092881,4.1146419504807404e-16
canonical,zero,115,0.0071491793533964175,2.2742499333708446e-16
canonical,one,115,0.018488135745056873,6.204262596745186e-16
canonical,plus,115,0.009490999894519092,2.5934551093509623e-16
canonical,plus_i,115,0.01574999558433966,2.341732127817012e-16
canonical,zero,116,0.010290257304816653,1.3589106477053114e-16
canonical,one,116,0.015147077115663559,9.656274382326417e-16
